me_recipe_name,me_recipe_id,recipe_type,category,recipe_cost,menu_price,is_inactive
 Jester King Le Petit Prince Farmhouse 16oz Can,833067715,Beer,BAR,2.88,2.88,True
1/2 doz Cinnamon Raisin Bagels,375806678,Freezer,MENU,1.6,1.6,False
1/2 Dozen Bialys,246657553,Freezer,MENU,0.68,0.68,False
1/2 Pint Hot Paste,467047904,Retail,MENU,2.5,2.5,False
1/2 Pint Katsu Sauce,467054619,Retail,MENU,1.36,1.36,False
1/2 Pint Pickled Shiitakes,467048996,Retail,MENU,2.03,2.03,False
1/2 Pint Retail Hot Aioli,467017731,Retail,MENU,1.99,1.99,False
1/2 Pint Tabasco Honey,467048268,Retail,MENU,2.79,2.79,False
1/2 Pour Boston Maple Cream,612675235,Spirits,BAR,0.66,0.66,False
1/2 Sour Pickles (retail Quart),301895879,Deli Case,MENU,4.08,4.08,False
1/2# Corned Beef,247932824,Deli Case,MENU,5.46,5.46,False
1/2# Nova (hand-sliced),247931929,Deli Case,MENU,7.69,7.69,False
1/2# Pastrami,247932478,Deli Case,MENU,4.97,4.97,False
1/2gl Albone Glass,612676704,Wine,BAR,1.31,1.31,True
1/2gl Alsina Cava,612675599,Wine,BAR,0.82,0.82,False
1/2gl Damase Picpoul Glass ,612675866,Wine,BAR,1.12,1.12,True
1/2gl Mary Taylor Nimes Glass ,612676147,Wine,BAR,1.18,1.18,True
1/2gl Meinklang Mulutshack Weisser,612675955,Wine,BAR,1.31,1.31,True
1/4# Nova Lox - hand sliced,301908283,Deli Case,MENU,3.91,3.91,False
1/4# Sable,247932342,Deli Case,MENU,7.38,7.38,False
1/4# Sturgeon,247933283,Deli Case,MENU,9.61,9.61,False
12oz Hibiscus Iced Tea,298395647,Drinks,MENU,0.87,0.87,False
15 Stars Timeless Reserve 13yr Bourbon,1058129258,Spirits,BAR,11.97,11.97,False
20oz Hibiscus Iced Tea,298397909,Drinks,MENU,0.87,0.87,False
20oz Iced Coffee,298392205,Drinks,MENU,1.62,1.62,False
4PK Notch State Park Lager,522480199,Draught Beer,BAR,8,8,True
50/50 Margarita,645498278,Cocktail List,BAR,1.46,1.46,False
"6"" Funfetti Cake  1 ",620659903,Custom Cakes,MENU,3.84,3.84,False
6-pack Assorted Bagels ,246304090,Freezer,MENU,0.92,0.92,False
"8"" Funfetti Cake ",621132425,Custom Cakes,MENU,7.43,7.43,False
A Few Small Beers,1139976860,Beer,BAR,2.44,2.44,True
Aberlour,816627069,Spirits,BAR,3.35,3.35,False
Add Fried Egg,973502468,Sides,MENU,0.27,0.27,False
Add Katsu Chicken,973499901,Sides,MENU,1.29,1.29,False
Add Old Fashioned Bacon,973501897,Sides,MENU,0.23,0.23,False
Add Second Flat Patty,973500678,Sides,MENU,1,1,False
After Hours,280322486,Cocktail,BAR,1.88,1.88,True
Air Mail,387317621,Cocktail,BAR,2.05,2.05,False
Alaska,823011175,Cocktail,BAR,3.06,3.06,False
Allagash White Ale,421842417,Beer,BAR,1.5,1.5,False
Almanac strawberry shorty,612676942,Draught Beer,BAR,0.95,0.95,True
Always Sunny,973152043,Cocktail,BAR,0.56,0.56,True
Amabuki Himawari Junmai Ginjo Cup Sake,1175870754,Beer,BAR,15.67,15.67,False
Amaretto Sour,973122714,Cocktail,BAR,1.49,1.49,False
Angostura 1 oz Shot,507281217,Spirits,BAR,1.28,1.28,False
Aperol,816670772,Spirits,BAR,1.26,1.26,False
Aperol Spritz,697255440,Cocktail,BAR,2.67,2.67,False
Apple Custard Pie - slice,622617086,Holiday Items,MENU,1.05,1.05,True
Apple Custard Pie - whole,622616424,Holiday Items,MENU,9.95,9.95,True
Appleton 8 Daiquiri,493502656,Cocktail,BAR,2.89,2.89,True
Appleton 8 Yr Daiquiri,493502225,Cocktail,BAR,2.89,2.89,True
Ardbeg 10YR,816627668,Spirits,BAR,3.45,3.45,False
Arette Gimlet,435614023,Cocktail,BAR,1.44,1.44,True
Arette Margarita,416031073,Cocktail,BAR,1.68,1.68,True
Arette Paloma,433518229,Cocktail,BAR,1.37,1.37,True
Artemisian Order,535297536,Cocktail,BAR,1.84,1.84,False
Artichoke/Chickpea Tagine,551776174,Dinner Catering,MENU,12.64,12.64,False
Artifact LWB Cider,522513412,Beer,BAR,2.63,2.63,False
Artifact Slow Down,1084755727,Beer,BAR,2.42,2.42,True
Athletic Golden Ale,421843127,Beer,BAR,1.4,1.4,False
Athletic Michelada,434936449,Cocktail,BAR,1.62,1.62,True
Atomic Black Espresso Liqueur,763598847,Spirits,BAR,1.24,1.24,False
Averna,816671527,Spirits,BAR,1.65,1.65,False
Babka French Toast (brunch),842797492,Brunch Menu,MENU,1.45,1.45,False
Babka French Toast - Retail,375799173,Brunch Menu,MENU,1.82,1.82,False
Babka Making Class for 20 ppl,609008238,Classes,MENU,208.27,208.27,False
"Babka Muffin, Chocolate",246966666,Pastries,MENU,0.64,0.64,True
"Babka Muffin, Cinnamon",246966550,Pastries,MENU,0.37,0.37,True
Bad Seed Cider,421842601,Beer,BAR,2.27,2.27,True
