toast_item,match_status,recipe_name,recipe_id,category,yield_qty,yield_unit,scale_numerator,scale_denominator,scale_decimal,cost,effective_cost,price,match_source
12oz Black Iced Tea,confident,12oz Black Iced Tea,298395533,MENU,1,EACH,1,1,1,0.84,0.84,0.84,exact_name
12oz Hot Coffee,confident,12oz Hot Coffee,298381189,MENU,1,EACH,1,1,1,1,1,1,exact_name
12oz Iced Coffee,confident,12oz Iced Coffee,298386283,MENU,1,EACH,1,1,1,0.99,0.99,0.99,exact_name
16oz Hot Coffee,confident,16oz Hot Coffee,298381803,MENU,1,EACH,1,1,1,1.26,1.26,1.26,exact_name
20oz Black Iced Tea,confident,20oz Black Iced Tea,298396068,MENU,1,EACH,1,1,1,0.98,0.98,0.98,exact_name
Apple Sauce (half pint),confident,Apple Sauce (half pint),236410029,MENU,1,EACH,1,1,1,1.21,1.21,1.21,exact_name
"Bagel, Schmear, and Vegetables (v)",confident,"Bagel, Schmear, and Vegetables",247937282,MENU,1,EACH,1,1,1,1.45,1.45,1.45,exact_name
Black & White Milkshake,confident,Black and White Milkshake,401527771,MENU,1,EACH,1,1,1,3.57,3.57,3.57,exact_name
Black Cherry Float,confident,Black Cherry Float,401526461,MENU,1,EACH,1,1,1,3.36,3.36,3.36,exact_name
Bubbe's Broth (12oz),confident,Bubbe's Broth - 12oz.,376421575,MENU,12,OUNCE,1,1,1,0.78,0.78,0.78,exact_name
Build A Bagel (v),confident,Build a Bagel,377220586,MENU,1,EACH,1,1,1,0.58,0.58,0.58,exact_name
Campari & OJ (for 1),confident,Campari & OJ for 1,401524529,MENU,1,EACH,1,1,1,4.02,4.02,4.02,exact_name
Challah Rolls (bag of 4),confident,Challah Rolls (bag of 4),301912727,MENU,1,BAG,1,1,1,0.62,0.62,0.62,exact_name
Chicken Salad (half pint),confident,Chicken Salad (half pint),239547824,MENU,1,EACH,1,1,1,1.39,1.39,1.39,exact_name
Chicken Salad Sandwich,confident,Chicken Salad Sandwich,245861165,MENU,1,EACH,1,1,1,1.52,1.52,1.52,exact_name
Chicken Schnitzel Sandwich,confident,Chicken Schnitzel Sandwich,245862457,MENU,1,EACH,1,1,1,2.8,2.8,2.8,exact_name
Chocolate Layer Cake Slice (v),confident,Chocolate Layer Cake - Slice,401515594,MENU,1,SLICE,1,1,1,1.16,1.16,1.16,exact_name
Chocolate Milkshake,confident,Chocolate Milkshake,298401036,MENU,1,CUP,1,1,1,3.31,3.31,3.31,exact_name
Chopped Liver (half pint),confident,Chopped Liver (half pint),239549614,MENU,1,EACH,1,1,1,1.28,1.28,1.28,exact_name
Chopped Liver Sandwich,confident,Chopped Liver Sandwich,240470423,MENU,1,EACH,1,1,1,2.61,2.61,2.61,exact_name
Coke,confident,Coke,379457658,MENU,1,CAN,1,1,1,0.86,0.86,0.86,exact_name
Coke Float,confident,Coke Float,401529065,MENU,1,EACH,1,1,1,3.42,3.42,3.42,exact_name
Corned Beef Rachel,confident,Corned Beef Rachel,245344993,MENU,1,EACH,1,1,1,4.07,4.07,4.07,exact_name
Corned Beef Reuben,confident,Corned Beef Reuben,240473398,MENU,1,EACH,1,1,1,4.27,4.27,4.27,exact_name
Diet Coke,confident,Diet Coke,379457885,MENU,1,CAN,1,1,1,0.86,0.86,0.86,exact_name
Dr. Brown's Ginger Ale,confident,Dr. Brown's - Ginger Ale,379453493,MENU,1,CAN,1,1,1,1.09,1.09,1.09,exact_name
Dr. Browns Black Cherry,confident,Dr. Brown's - Black Cherry,379454137,MENU,1,CAN,1,1,1,0.94,0.94,0.94,exact_name
Dr. Browns Cel-Ray,confident,Dr. Brown's - Cel-Ray,379456052,MENU,1,CAN,1,1,1,0.94,0.94,0.94,exact_name
Dr. Browns Cream Soda,confident,Dr. Brown's - Cream Soda,379452051,MENU,1,CAN,1,1,1,0.94,0.94,0.94,exact_name
Dr. Browns Diet Black Cherry,confident,Dr. Brown's - Diet Black Cherry,379455657,MENU,1,CAN,1,1,1,1.09,1.09,1.09,exact_name
Dr. Browns Diet Cream Soda,confident,Dr. Brown's - Diet Cream Soda,379453143,MENU,1,CAN,1,1,1,0.94,0.94,0.94,exact_name
Dr. Browns Root Beer,confident,Dr. Brown's - Root Beer,379456666,MENU,1,CAN,1,1,1,0.94,0.94,0.94,exact_name
Egg and Cheese Sandwich (v),confident,Egg and Cheese Sandwich,245921399,MENU,1,EACH,1,1,1,0.56,0.56,0.56,exact_name
Egg Salad (half pint),confident,Egg Salad (half pint),239549801,MENU,1,EACH,1,1,1,1.02,1.02,1.02,exact_name
Egg Salad Sandwich (v),confident,Egg Salad Sandwich,245863877,MENU,1,EACH,1,1,1,1.13,1.13,1.13,exact_name
Glass of Milk (12oz),confident,Glass of Milk - 12oz.,379461212,MENU,1,EACH,1,1,1,0.97,0.97,0.97,exact_name
Hummus Sandwich (v+),confident,Hummus Sandwich,301805602,MENU,1,EACH,1,1,1,0.92,0.92,0.92,exact_name
LEO,confident,LEO,301785092,MENU,1,EACH,1,1,1,1.56,1.56,1.56,exact_name
Mamaleh's Big Salad,confident,Mamaleh's Big Salad,245887524,MENU,1,EACH,1,1,1,4.92,4.92,4.92,exact_name
Martinelli's Apple Juice,confident,Martinelli's Apple Juice,411551508,MENU,1,EACH,1,1,1,1.77,1.77,1.77,exact_name
Mimosa,confident,Mimosa,478055141,MENU,1,BOTTLE,1,1,1,5.3,5.3,5.3,exact_name
"Mushroom, Egg, and Cheese (v)",confident,"Mushroom, Egg & Cheese",409362374,MENU,1,EACH,1,1,1,1.51,1.51,1.51,exact_name
Nova Lox Sandwich,confident,Nova Lox Sandwich,247935973,MENU,1,EACH,1,1,1,3.41,3.41,3.41,exact_name
NY Cheesecake Slice (v) (gf),confident,NY Cheesecake Slice,401561499,MENU,1,SLICE,1,1,1,1.2,1.2,1.2,exact_name
Pastrami Chopped Liver Sandwich,confident,Pastrami/Chopped Liver Sandwich,240471167,MENU,1,EACH,1,1,1,4.01,4.01,4.01,exact_name
Pastrami Rachel,confident,Pastrami Rachel,245803238,MENU,1,EACH,1,1,1,3.42,3.42,3.42,exact_name
Pastrami Reuben,confident,Pastrami Reuben,245810170,MENU,1,EACH,1,1,1,3.63,3.63,3.63,exact_name
Potato Latkes (frozen) (v),confident,Potato Latkes (Frozen),239723393,MENU,1,EACH,1,1,1,2.01,2.01,2.01,exact_name
Potato Salad (half pint),confident,Potato Salad (half pint),239573598,MENU,1,EACH,1,1,1,0.78,0.78,0.78,exact_name
Quart Matzah Ball Soup (hot),confident,Quart Matzah Ball Soup (hot),245899631,MENU,1,EACH,1,1,1,1.76,1.76,1.76,exact_name
Root Beer Float,confident,Root Beer Float,401533092,MENU,1,EACH,1,1,1,3.61,3.61,3.61,exact_name
sauerkraut (half pint),confident,Sauerkraut (half pint),301898755,MENU,1,EACH,1,1,1,1.12,1.12,1.12,exact_name
Smoked Salmon & Chickpea Bowl,confident,Smoked Salmon & Chickpea Bowl,920931787,MENU,1,EACH,1,1,1,3.44,3.44,3.44,exact_name
Sour Cream (half pint),confident,Sour Cream (half pint),236404696,MENU,1,EACH,1,1,1,0.92,0.92,0.92,exact_name
The Ida (v),confident,The Ida,247938515,MENU,1,EACH,1,1,1,0.84,0.84,0.84,exact_name
The Lastnamer,confident,The Lastnamer,247939626,MENU,1,EACH,1,1,1,3.28,3.28,3.28,exact_name
Tuna Salad (half pint),confident,Tuna Salad (half pint),239553062,MENU,1,EACH,1,1,1,3.63,3.63,3.63,exact_name
Tuna Salad Sandwich,confident,Tuna Salad Sandwich,245833379,MENU,1,EACH,1,1,1,3.11,3.11,3.11,exact_name
Turkey Rachel,confident,Turkey Rachel,245804085,MENU,1,EACH,1,1,1,3.2,3.2,3.2,exact_name
Turkey Reuben,confident,Turkey Reuben,245811336,MENU,1,EACH,1,1,1,3.28,3.28,3.28,exact_name
Vanilla Milkshake,confident,Vanilla Milkshake,298400223,MENU,1,CUP,1,1,1,4.08,4.08,4.08,exact_name
Vegan Egg Sandwich (v+),confident,Vegan Egg Sandwich,839533481,MENU,1,EACH,1,1,1,2.32,2.32,2.32,exact_name
Whitefish Salad (half pint),confident,Whitefish Salad (half pint),239547019,MENU,1,EACH,1,1,1,2.84,2.84,2.84,exact_name
Whitefish Salad Sandwich,confident,Whitefish Salad Sandwich,247942817,MENU,1,EACH,1,1,1,1.93,1.93,1.93,exact_name
1 Bagel (v+),no_match,,,,,,,,,,,,
1 Pickle,reviewed,Side of Pickles,301811410,MENU,,,,,,0.93,0.93,0.93,top3
12oz Herbal Hibiscus Orange Iced Tea,reviewed,12oz Hibiscus Iced Tea,298395647,MENU,,,,,,0.87,0.87,0.87,top3
16oz MEM Hot Tea,no_match,,,,,,,,,,,,
20oz Herbal Hibiscus Orange Iced Tea,reviewed,20oz Hibiscus Iced Tea,298397909,MENU,,,,,,0.87,0.87,0.87,top3
20oz Raspberry Lime Rickey,reviewed,Raspberry Lime Rickey (HQ/WS),417106209,MENU,,,,,,1.57,1.57,1.57,top3
20oz Sparkling Pickle Cucumber Lemonade,reviewed,Pickled Cucumber Lemonade,842978234,MENU,,,,,,1.25,1.25,1.25,top3
A&J King's Light Seeded Rye Bread  (half loaf),reviewed,Half Loaf A&J King Seeded Rye Bread,333484518,MENU,,,,,,3.8,3.8,3.8,top3
add 1 matzah ball,reviewed,Commissary - Matzah Balls,303660971,PREPARED,120,EACH,1,120,0.008333333333333333,23.68,0.19733333333333333,23.68,search
Artichoke Chickpea Tagine (frozen pint) (v+),reviewed,Eggplant and Chickpea Tagine (bulk),247963228,MENU,30,EACH,1,30,0.03333333333333333,74.19,2.473,74.19,top3
Babka French Toast (v),reviewed,Babka French Toast (brunch),842797492,MENU,1,EACH,1,1,1,1.45,1.45,1.45,top3
Babka Loaf (fresh-frozen),no_match,,,,,,,,,,,,
Bag of Bubbe's Beans,no_match,,,,,,,,,,,,
Baker's Dozen (v+),no_match,,,,,,,,,,,,
Barrington Coffee Bubbe's Beans 5 lb regular,no_match,,,,,,,,,,,,
Bottled Water,no_match,,,,,,,,,,,,
Bourbon Vanilla Milkshake (boozy! 21+),reviewed,Bourbon-Vanilla Milkshake,401541711,MENU,1,EACH,1,1,1,5,5,5,top3
"Bourbon, Four Roses (1.5oz)",reviewed,Four Roses Shot,562538428,BAR,1,SERVING,1,1,1,1.12,1.12,1.12,top3
Brisket and Black Bean Chili (frozen pint),reviewed,Black Bean Chili (freezer retail),842799335,MENU,1,EACH,1,1,1,3.71,3.71,3.71,top3
Challah Loaf (Fridays Only),reviewed,Challah Loaf,245860740,MENU,1,EACH,1,1,1,1.38,1.38,1.38,top3
Challah Loaf (frozen),reviewed,Challah Loaf,245860740,MENU,1,EACH,1,1,1,1.38,1.38,1.38,top3
Cheddar Cheese (1 lb),reviewed,Cheddar Cheese (retail 1/2#),301897827,MENU,1,BAG,2,1,2,2.27,4.54,2.27,top3
Cheddar Cheese (1/2 lb),reviewed,Cheddar Cheese (retail 1/2#),301897827,MENU,1,BAG,1,1,1,2.27,2.27,2.27,top3
