toast_item,me_recipe_name,me_recipe_id,me_recipe_type,me_category,recipe_cost,menu_price,is_inactive
12oz Black Iced Tea,12oz Black Iced Tea,298395533,Drinks,MENU,0.84,0.84,False
12oz Hot Coffee,12oz Hot Coffee,298381189,Drinks,MENU,1,1,False
12oz Iced Coffee,12oz Iced Coffee,298386283,Drinks,MENU,0.99,0.99,False
16oz Hot Coffee,16oz Hot Coffee,298381803,Drinks,MENU,1.26,1.26,False
20oz Black Iced Tea,20oz Black Iced Tea,298396068,Drinks,MENU,0.98,0.98,False
Apple Sauce (half pint),Apple Sauce (half pint),236410029,Deli Case,MENU,1.21,1.21,False
"Bagel, Schmear, and Vegetables (v)","Bagel, Schmear, and Vegetables",247937282,Sandwiches,MENU,1.45,1.45,False
Black & White Milkshake,Black and White Milkshake,401527771,Drinks,MENU,3.57,3.57,True
Black Cherry Float,Black Cherry Float,401526461,Drinks,MENU,3.36,3.36,True
Build A Bagel (v),Build a Bagel,377220586,Sandwiches,MENU,0.58,0.58,True
Bubbe's Broth (12oz),Bubbe's Broth - 12oz.,376421575,Drinks,MENU,0.78,0.78,False
Campari & OJ (for 1),Campari & OJ for 1,401524529,Drinks,MENU,4.02,4.02,True
Chicken Salad (half pint),Chicken Salad (half pint),239547824,Deli Case,MENU,1.39,1.39,False
Chicken Salad Sandwich,Chicken Salad Sandwich,245861165,Sandwiches,MENU,1.52,1.52,False
Chicken Schnitzel Sandwich,Chicken Schnitzel Sandwich,245862457,Sandwiches,MENU,2.8,2.8,False
Chocolate Layer Cake Slice (v),Chocolate Layer Cake - Slice,401515594,Pastries,MENU,1.16,1.16,False
Chocolate Milkshake,Chocolate Milkshake,298401036,Drinks,MENU,3.31,3.31,False
Challah Rolls (bag of 4),Challah Rolls (bag of 4),301912727,Breads,MENU,0.62,0.62,False
Chopped Liver (half pint),Chopped Liver (half pint),239549614,Deli Case,MENU,1.28,1.28,False
Chopped Liver Sandwich,Chopped Liver Sandwich,240470423,Sandwiches,MENU,2.61,2.61,False
Coke,Coke,379457658,Drinks,MENU,0.86,0.86,False
Coke Float,Coke Float,401529065,Drinks,MENU,3.42,3.42,True
Corned Beef Rachel,Corned Beef Rachel,245344993,Sandwiches,MENU,4.07,4.07,False
