toast_item,reason,candidate_recipe_name,candidate_recipe_id,candidate_recipe_type,candidate_category,recipe_cost,menu_price,is_inactive,score
12oz Herbal Hibiscus Orange Iced Tea,fuzzy match,12oz Hibiscus Iced Tea,298395647,Drinks,MENU,0.87,0.87,False,0.759
12oz Herbal Hibiscus Orange Iced Tea,fuzzy match,20oz Hibiscus Iced Tea,298397909,Drinks,MENU,0.87,0.87,False,0.724
12oz Herbal Hibiscus Orange Iced Tea,fuzzy match,12oz Black Iced Tea,298395533,Drinks,MENU,0.84,0.84,False,0.618
12oz Herbal Hibiscus Orange Iced Tea,fuzzy match,20oz Black Iced Tea,298396068,Drinks,MENU,0.98,0.98,False,0.582
12oz Herbal Hibiscus Orange Iced Tea,fuzzy match,Orange Juice - 8oz.,379458695,Drinks,MENU,1.8,1.8,False,0.538
16oz MEM Hot Tea,fuzzy match,16oz Hot Coffee,298381803,Drinks,MENU,1.26,1.26,False,0.645
16oz MEM Hot Tea,fuzzy match,12oz Hot Coffee,298381189,Drinks,MENU,1,1,False,0.581
16oz MEM Hot Tea,fuzzy match,12oz Hibiscus Iced Tea,298395647,Drinks,MENU,0.87,0.87,False,0.579
16oz MEM Hot Tea,fuzzy match,12oz Black Iced Tea,298395533,Drinks,MENU,0.84,0.84,False,0.571
16oz MEM Hot Tea,fuzzy match,Go Sport Team,677950626,Cocktail,BAR,3.55,3.55,True,0.552
1 Bagel (v+),fuzzy match,Plain Bagel,246264737,Breads,MENU,0.1,0.1,False,0.667
1 Bagel (v+),fuzzy match,Sesame Bagel,246303515,Breads,MENU,0.16,0.16,False,0.632
1 Bagel (v+),fuzzy match,Build a Bagel,377220586,Sandwiches,MENU,0.58,0.58,True,0.6
1 Bagel (v+),fuzzy match,Elijah Craig 18 ,753735179,Spirits,BAR,6.83,6.83,False,0.545
1 Bagel (v+),fuzzy match,1/4# Sable,247932342,Deli Case,MENU,7.38,7.38,False,0.526
1 Pickle,fuzzy match,Pickled Egg,252656457,Appetizers,MENU,0.43,0.43,False,0.737
1 Pickle,fuzzy match,Side of Pickles,301811410,Sides,MENU,0.93,0.93,False,0.609
1 Pickle,fuzzy match,Pickles the 'Tini,298380004,Cocktail,BAR,39.89,39.89,False,0.6
1 Pickle,fuzzy match,Cap- Pickles the Great,413859033,Retail,MENU,15,15,False,0.56
1 Pickle,fuzzy match,Pint Pickled Eggs,467049715,Retail,MENU,1.95,1.95,False,0.56
20oz Herbal Hibiscus Orange Iced Tea,fuzzy match,20oz Hibiscus Iced Tea,298397909,Drinks,MENU,0.87,0.87,False,0.759
20oz Herbal Hibiscus Orange Iced Tea,fuzzy match,12oz Hibiscus Iced Tea,298395647,Drinks,MENU,0.87,0.87,False,0.724
20oz Herbal Hibiscus Orange Iced Tea,fuzzy match,20oz Black Iced Tea,298396068,Drinks,MENU,0.98,0.98,False,0.618
20oz Herbal Hibiscus Orange Iced Tea,fuzzy match,12oz Black Iced Tea,298395533,Drinks,MENU,0.84,0.84,False,0.582
20oz Herbal Hibiscus Orange Iced Tea,fuzzy match,Orange Juice - 8oz.,379458695,Drinks,MENU,1.8,1.8,False,0.538
20oz Raspberry Lime Rickey,fuzzy match,Raspberry Lime Ricky (HSP),476126381,Drinks,MENU,0.7,0.7,False,0.84
20oz Raspberry Lime Rickey,fuzzy match,Raspberry Lime Rickey (HQ/WS),417106209,Drinks,MENU,1.57,1.57,False,0.83
20oz Raspberry Lime Rickey,fuzzy match,"Rugelach, Raspberry - 1 each",338660566,Pastries,MENU,0.14,0.14,False,0.565
20oz Raspberry Lime Rickey,fuzzy match,Sakiskes Raspberry Gose Sour Ale 11.2oz Bottle,1040109445,Beer,BAR,6.33,6.33,True,0.556
20oz Raspberry Lime Rickey,fuzzy match,Raspberry Sufganiyot,316351508,Holiday Items,MENU,0.84,0.84,False,0.522
20oz Sparkling Pickle Cucumber Lemonade,fuzzy match,Pickled Cucumber Lemonade,842978234,Drinks,MENU,1.25,1.25,False,0.75
20oz Sparkling Pickle Cucumber Lemonade,fuzzy match,20oz Black Iced Tea,298396068,Drinks,MENU,0.98,0.98,False,0.483
20oz Sparkling Pickle Cucumber Lemonade,fuzzy match,Sparkling Watermelon Daiquiri,434939474,Cocktail,BAR,1.63,1.63,False,0.471
20oz Sparkling Pickle Cucumber Lemonade,fuzzy match,"Candy, Pickle Cotton Candy",413236627,Retail,MENU,2.54,2.54,False,0.469
20oz Sparkling Pickle Cucumber Lemonade,fuzzy match,Hoodie- Pickle the Great,413859830,Retail,MENU,13.75,13.75,False,0.452
A&J King's Light Seeded Rye Bread  (half loaf),fuzzy match,Half Loaf A&J King Seeded Rye Bread,333484518,Breads,MENU,3.8,3.8,False,0.896
A&J King's Light Seeded Rye Bread  (half loaf),fuzzy match,Seeded Rye Manhattan,297795570,Cocktail,BAR,1.01,1.01,False,0.561
A&J King's Light Seeded Rye Bread  (half loaf),fuzzy match,Sour Cream (half pint),236404696,Deli Case,MENU,0.92,0.92,False,0.5
A&J King's Light Seeded Rye Bread  (half loaf),fuzzy match,Russian Dressing (retail-12 oz squeeze bottle),297615674,Deli Case,MENU,2.08,2.08,False,0.469
A&J King's Light Seeded Rye Bread  (half loaf),fuzzy match,1/4# Nova Lox - hand sliced,301908283,Deli Case,MENU,3.91,3.91,False,0.469
add 1 matzah ball,fuzzy match,Quart Matzah Ball Soup,245901621,Freezer,MENU,1.95,1.95,False,0.667
add 1 matzah ball,fuzzy match,Vegan Matzah Ball Soup,842800239,Freezer,MENU,3.91,3.91,False,0.667
add 1 matzah ball,fuzzy match,Cup Matzah Ball Soup,245898926,Soups & Salads,MENU,0.73,0.73,False,0.649
add 1 matzah ball,fuzzy match,Quart Matzah Ball Soup (hot),245899631,Soups & Salads,MENU,1.76,1.76,False,0.605
add 1 matzah ball,fuzzy match,Add Old Fashioned Bacon,973501897,Sides,MENU,0.23,0.23,False,0.5
Artichoke Chickpea Tagine (frozen pint) (v+),fuzzy match,Artichoke/Chickpea Tagine,551776174,Dinner Catering,MENU,12.64,12.64,False,0.806
Artichoke Chickpea Tagine (frozen pint) (v+),fuzzy match,Eggplant and Chickpea Tagine (bulk),247963228,Freezer,MENU,74.19,74.19,False,0.667
Artichoke Chickpea Tagine (frozen pint) (v+),fuzzy match,Baharat Spiced Chickpea Burger,1112150326,Sandwiches,MENU,2.14,2.14,False,0.567
Artichoke Chickpea Tagine (frozen pint) (v+),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.523
Artichoke Chickpea Tagine (frozen pint) (v+),fuzzy match,Repo Cocktail - Negroni,253800296,Cocktail,BAR,1.35,1.35,True,0.517
Bag of Bubbe's Beans,fuzzy match,Bubbe's Broth - 12oz.,376421575,Drinks,MENU,0.78,0.78,False,0.552
Bag of Bubbe's Beans,fuzzy match,Bee's Knees,662846632,Cocktail,BAR,1.8,1.8,False,0.545
Bag of Bubbe's Beans,fuzzy match,BEST BUDDY,381676829,Cocktail,BAR,2.85,2.85,True,0.545
Bag of Bubbe's Beans,fuzzy match,A Few Small Beers,1139976860,Beer,BAR,2.44,2.44,True,0.5
Bag of Bubbe's Beans,fuzzy match,Bread and Butter Pickles ,1176918695,Appetizers,MENU,0.56,0.56,False,0.5
Baker's Dozen (v+),fuzzy match,Bulk Bagels - Baker's Dozen,375238896,Breads,MENU,2.35,2.35,False,0.667
Baker's Dozen (v+),fuzzy match,1/2 Dozen Bialys,246657553,Freezer,MENU,0.68,0.68,False,0.643
Baker's Dozen (v+),fuzzy match,Chet Baker,862216123,Cocktail,BAR,2.37,2.37,False,0.636
Baker's Dozen (v+),fuzzy match,Potato Latkes (Frozen),239723393,Freezer,MENU,2.01,2.01,False,0.562
Baker's Dozen (v+),fuzzy match,Blintzes (frozen bag of 4),238013764,Freezer,MENU,4.08,4.08,False,0.552
Babka French Toast (v),fuzzy match,Babka French Toast (brunch),842797492,Brunch Menu,MENU,1.45,1.45,False,0.837
Babka French Toast (v),fuzzy match,Babka French Toast - Retail,375799173,Brunch Menu,MENU,1.82,1.82,False,0.837
Babka French Toast (v),fuzzy match,Chocolate Babka Loaf,471591660,Freezer,MENU,2.9,2.9,True,0.579
Babka French Toast (v),fuzzy match,French Onion Aioli,826808259,Big Dipper Sauces,MENU,0.17,0.17,False,0.556
Babka French Toast (v),fuzzy match,"Babka Muffin, Chocolate",246966666,Pastries,MENU,0.64,0.64,True,0.55
Babka Loaf (fresh-frozen),fuzzy match,Babka French Toast (brunch),842797492,Brunch Menu,MENU,1.45,1.45,False,0.667
Babka Loaf (fresh-frozen),fuzzy match,Babka French Toast - Retail,375799173,Brunch Menu,MENU,1.82,1.82,False,0.667
Babka Loaf (fresh-frozen),fuzzy match,Cinnamon Babka Loaf,471591882,Freezer,MENU,1.72,1.72,True,0.619
Babka Loaf (fresh-frozen),fuzzy match,Potato Latkes (Frozen),239723393,Freezer,MENU,2.01,2.01,False,0.605
Babka Loaf (fresh-frozen),fuzzy match,Chocolate Babka Loaf,471591660,Freezer,MENU,2.9,2.9,True,0.558
Barrington Coffee Bubbe's Beans 5 lb regular,fuzzy match,Milk & Sugar (Coffee Box),362815721,Drinks,MENU,2.07,2.07,False,0.469
Bottled Water,fuzzy match,Native Water,619957899,N/A Bev,BAR,0.24,0.24,False,0.64
Bottled Water,fuzzy match,"Bottle Spring Water, 16.9oz.",379447213,Drinks,MENU,0.24,0.24,False,0.615
Bottled Water,fuzzy match,White Tea Shot,563652962,Cocktail,BAR,1.32,1.32,False,0.593
Bottled Water,fuzzy match,Golden Gate,306030131,Cocktail,BAR,1.85,1.85,False,0.583
Bottled Water,fuzzy match,Little Park,924126272,Cocktail,BAR,1.31,1.31,True,0.583
"Bourbon, Four Roses (1.5oz)",fuzzy match,Four Roses Shot,562538428,Spirits,BAR,1.12,1.12,False,0.615
"Bourbon, Four Roses (1.5oz)",fuzzy match,Wild Turkey 101 Bourbon Shot,562538063,Spirits,BAR,1.15,1.15,False,0.538
"Bourbon, Four Roses (1.5oz)",fuzzy match,15 Stars Timeless Reserve 13yr Bourbon,1058129258,Spirits,BAR,11.97,11.97,False,0.516
"Bourbon, Four Roses (1.5oz)",fuzzy match,Leon Gold Rose,684911854,Wine,BAR,2.22,2.22,True,0.474
"Bourbon, Four Roses (1.5oz)",fuzzy match,Crooked Stave Sour Rose Can,840764024,Beer,BAR,0,,True,0.471
Bourbon Vanilla Milkshake (boozy! 21+),fuzzy match,Bourbon-Vanilla Milkshake,401541711,Drinks,MENU,5,5,True,0.833
Bourbon Vanilla Milkshake (boozy! 21+),fuzzy match,Fomu Vanilla Milkshake,505857822,Drinks,MENU,2,2,False,0.702
Bourbon Vanilla Milkshake (boozy! 21+),fuzzy match,Vanilla Milkshake,298400223,Drinks,MENU,4.08,4.08,False,0.654
Bourbon Vanilla Milkshake (boozy! 21+),fuzzy match,Fomu Vanilla Milkshake (inactive),401529926,Drinks,MENU,2.25,2.25,True,0.636
Bourbon Vanilla Milkshake (boozy! 21+),fuzzy match,Heaven Hill 7yr Bourbon,1134724453,Spirits,BAR,2.36,2.36,False,0.586
Brisket and Black Bean Chili (frozen pint),fuzzy match,Black Bean Chili (freezer retail),842799335,Freezer,MENU,3.71,3.71,False,0.687
Brisket and Black Bean Chili (frozen pint),fuzzy match,Pizza Bagels - 4-Frozen Cheese,375224072,Freezer,MENU,1.49,1.49,True,0.531
Brisket and Black Bean Chili (frozen pint),fuzzy match,Babka French Toast (brunch),842797492,Brunch Menu,MENU,1.45,1.45,False,0.525
Brisket and Black Bean Chili (frozen pint),fuzzy match,Brick and Feather Saurons Porter,1032062192,Beer,BAR,3.08,3.08,True,0.5
Brisket and Black Bean Chili (frozen pint),fuzzy match,Black and White Milkshake,401527771,Drinks,MENU,3.57,3.57,True,0.491
Cheddar Cheese (1 lb),fuzzy match,Cheddar Cheese (retail 1/2#),301897827,Deli Case,MENU,2.27,2.27,False,0.809
Cheddar Cheese (1 lb),fuzzy match,Cream Cheese 2oz.,401556376,Sides,MENU,0,,True,0.629
Cheddar Cheese (1 lb),fuzzy match,Beer Cheese,252640319,Appetizers,MENU,3.17,3.17,True,0.6
Cheddar Cheese (1 lb),fuzzy match,Lox Cream Cheese (half pint),239550745,Deli Case,MENU,3.4,3.4,False,0.591
Cheddar Cheese (1 lb),fuzzy match,Dill Cream Cheese (half pint),239548270,Deli Case,MENU,1.9,1.9,False,0.578
Cheddar Cheese (1/2 lb),fuzzy match,Cheddar Cheese (retail 1/2#),301897827,Deli Case,MENU,2.27,2.27,False,0.857
Cheddar Cheese (1/2 lb),fuzzy match,Lox Cream Cheese (half pint),239550745,Deli Case,MENU,3.4,3.4,False,0.652
